,tweet,label
57,My phone looks ratchet everything crack,neutral
58,Eres fingernail cualkiera yes u are .,negative
59,Finna go in order to McDonalds con the nohemi,neutral
60,""" Ni kulo myself van in order to stretch nor fingernail tokadita "" lmfao nohemi",positive
61,Lol just cuzs va andar off forever alone,negative
62,Nohemi cook for myself summ kesadiyas >>>,neutral
63,Escapate tee doy 2 mins aki am afuera,neutral
64,Gonna download that game hopefully no thank you myself ponga toda mad cuzs the borro,negative
65,The valet did n't know the boss was my cuada ora I wish immediately him underneath in order to one's huevitos,negative
66,This nigga is singing my little girl travieza lmfao pretty ugly,negative
67,Mhm no thank you wonder why they used to call myself changa when i was lil,neutral
68,I wish she would come back that women they oblivion off my smh,negative
69,Me Interesas by noel torres >>>>,neutral
70,Or mejor I go to my brothers house,neutral
71,Seen ur ex mother-in-law is awkward af,negative
72,Vayanse alv ha I got all kinds of color pants,neutral
73,If u think I jusy want u cuzs ur money heoo no thank you bitch tas loka,negative
74,But I told jaime ke iba ir in order to one's house to play xbox,neutral
75,No the buskes daughter very bonita times ke al strait del tense they him kita - my dad lol pretty gay,neutral
76,Not playing w females nomore I judt got slap times andar off pendejita,negative
77,"My dad calls my friends "" flush , buckskin "" and all that shit",negative
78,I brought the sueter my gma gave myself  form mexico lol,neutral
79,""" : Lo mato and ill take her gf lmfao "" lol too funny",positive
80,Michaela micaela ke thy tienes soul mia lol,positive
81,I made tostadas for myself and her and she 's makin sadwiches lol,neutral
82,Me and yazmin were looking at that milby pageboy and we told nohemi and her bitchass hide lmfao immediately the cache,negative
83,Ayyy I wanna go home -.- no thank you to my brother 's apt ayi myself dan puras wings and pizza,negative
84,My valet is gay lol so immediately somos amiguis xD,positive
85,I want one's eyes they idk badass,positive
86,My valet is so cool the chimuelo no thank you the off the cute eyes I wish lol,positive
87,Kuzs he 's always passin myself churros and all that good shit,positive
88,Nomas kuzs my tattoos,neutral
89,"My valet 's name is gabby and I show her my tattoo she was all like "" awww I feel special u got my name tatted up "" ha they emociono lol",positive
90,Damm myself duele my cabezota,negative
91,Nohemi was all panikiada and shit too cuzs she thought it was her sis,negative
92,Pero chill in order to nigga still single I already explain to her watt I mean,neutral
93,Lmao the mom off yazmin myself told ke myself oigo pretty mamona lol,neutral
94,I gotta do salad off pollo for my English class lol,neutral
95,My dad the puso in order to my given name since I was lil :),positive
96,The fact that my cuada is the boss >>>>,neutral
97,My fam anytime myself echan carriya cuzs of the tattoo its funny tho lol,positive
98,We all here waiting pa ke juege mex :),positive
99,"Lmao my dad told myself to get "" I'm fingernail estupida "" tatted up on my forehead for getting my ex name tatted up smh it was funny cuz my friends here",negative
100,Finally immediately I 'm calm after everything that happened today,positive
101,14 more mins pa ke immediately myself vaya alv,neutral
102,Finna eat summ hot fries w chamoy later on :),positive
103,At least ami no thank you myself mandaron tad in order to the chingada huh in order to nohemi lmao,negative
104,Y aya us casamos and tee presento in order to my grandparent she knows how to cook so u do n't gotta worry about cooking for myself lol,positive
105,Y I wish no thank you kieres tee theft and tee vas conmigo in order to mexico lol,positive
106,Nomas tee kieres feel pretty important npw,neutral
107,You know I miss u so why I gotta text u I miss u if u already know tampoko tee emociomes lol,neutral
108,I do n't accept both of yalls dare no thank you no thank you no thank you the coconut no thank you,neutral
109,Se kemo pokito but fuck it,negative
110,I always go to sleep w in order to t-shirt del same color off my boxers that 's just myself,neutral
111,Me and nohemi are waiting for everyone to go to sleep so we can male summ rice con jizz lol,neutral
112,A my myself decian quintina kuando threshing floor chikita lol,positive
113,ha pos have fun its pretty tee subes al horse its cute lol,positive
114,""" : I have never been to kemah tbh . "" Lol ta pretty expensive -.- they myself fue everything cheke",negative
115,Then on an game oomf myself aplasto -.-,negative
116,We got on the horse w summ teddy bears and an alien parecia ke llevavamos toda the fam lol,neutral
117,What about myself and u go to kemah again and us subimos al horse lol,neutral
118,Itzayana is my nia travieza,positive
119,lol nomas pokito ha,neutral
120,Bien buenota lol,positive
121,Ah !! Y I wish am ardido,negative
122,I 'm letting my eyebrows grow cuzs hairpin little woman pendeja fucked them up,negative
123,Summ people do n't like spm but fuck their opinion ha,negative
124,Pero komo dicen hoes always gonna bee hoes,negative
125,Asi ke ven and dime kuanto myself amas thus ke ven and dime kuanto myself extraas times thy amor me bajaria flagpole so infinity .....,positive
126,"Made in order to mexican hamburger ( tortilla , keso , ham , and mayonnaise ) ;)",positive
127,"Elysium calls myself "" primate "" lol funny or "" overalls """,positive
128,Idc if u do n't like tekila I do so u and ur opinion can gtfo,negative
129,The reason why I 'm single 1- cuzs myself mandaron in order to the chingada lol 2- cuzs I 'm trying to save money ( girls are expensive ),negative
130,Ni myself akordaba lol,neutral
131,Tomorrow i gotta work and as yet ando on the pedo lol,neutral
132,Waiting on my cuada so she can pick myself up to go to work,neutral
133,( the noise off tus zapatos ) baby that 's still your song ;),positive
134,I was gonna get drunk tonight only then myself dijieron I had to work lol fml,negative
135,Ya the they ke aunke thy no thank you myself kieras me anytime tee rekordare mirame dime ke aunke tee pida tee llore off ruege and tee implore no thank you vas in order to come back,negative
136,Well aver ke,neutral
137,She 's was all emocionada and shit,positive
138,Lol immediately nor me,neutral
139,I was gonna go in order to vee in order to gerardo ortiz but mayne its to fuckin cold,negative
140,When I wake up my hairs looks huh ke the lambio the cow -.-,negative
141,Se pasaron off prick con this one cold rt,negative
142,This teacher tellin us we gotta get amrry before loosen the tortilla,neutral
143,Hopefully vaya :),positive
144,Toda mongola and shit,negative
145,And when I see u siento mariposas,positive
146,My dad got summ tamales,neutral
147,Alguien they comio my torta Lol,neutral
148,La mom off eliseo said ke tengo the cabeza off teletuvi smh -.-,negative
149,"This girls sneak out and are like "" no thank you mames denle lmao",negative
150,Y off pasada the eyebrows,neutral
151,Why ? Cuzs u ai n't shit nor my dad myself dice ke aser minus thy,negative
152,lmao luego buelo pretty sleazy and no thank you pulleo hoes ;),positive
153,I was born on beans and rice oh my God and sandwich and huevo ( danny ) lol,positive
154,Ke al fiend con the gaupos lol,negative
155,But the her mom told us to stop cuzs us ivan in order to cachar lol,neutral
156,I remember when myself and oomf used to get out during lunch pa komprar gorditas lol,positive
157,I did n't went to 1 and immediately they myself iso late to go to 2 mmmm,neutral
158,I mias chavez rt,neutral
159,50$ times an VIP lap dance,neutral
160,yess microclimate my primer day on the milby lol,positive
161,El guy ke this one atras off my ta heart broken,neutral
162,I need others 3 months and then maybe,neutral
163,Kuzs I mean nomas tengo like 1 month single,neutral
164,I have the chance to go out w her only I know I 'm just gonna hurt her,negative
165,I can n't lmao myself mandaromandarins pretty skipjack alv ha,negative
166,In class toda sleepy,neutral
167,That 's why I 'm going w her pa ke myself off fingernail advil lol,positive
168,1 . Ke they accept myself on the milby 2.ke medieron fingernail shot and myself andaba muriendo & 3.ke myself acabo off tumble del ceiling lol,neutral
169,Ima go w gma rn in order to contarle the hickey,neutral
170,Pero ahh idc,neutral
171,Me pase off prick lol only I was just trying to bee funny,neutral
172,Finally they kedo viendo the novella and no thank you anda off nosy lol,neutral
173,Cuzs they the va in order to pussy lol,negative
174,I hope itzayana nunka tenga bf,negative
175,Pero no thank you one the conoce more ke me lol,neutral
176,Nomas the heads the tiene off nia buena lol,neutral
177,For now on u do n't count and voy aserle komo nunka tee conoci,negative
178,De tekila I wish only off the others no thank you lol,neutral
179,Ya no thank you kiero ke myself den shots,neutral
180,Today myself dieron fingernail hairpin shot and myself rompieron my corazonsito npw,negative
181,purée yolo life lol,neutral
182,ah start the monday pretty lol,positive
183,Or can yall just stfu and quit off make up chismes ?,negative
184,Can yall like plis help myself find her cuzs nor the konosko,neutral
185,Everytime ke myself awito I got in order to bottle of tekila myself echo an tragiyo pa calmarme,neutral
186,My fam myself vow alv every rato then they wonder why I 'm like this,neutral
187,Finna take in order to shower and go pa immediately meterme in order to the skool,neutral
188,Yazmin microclimate my adviser and she tells myself wutt to reply,neutral
189,Nomas myself falto comprarle unos hot chetos and juice lol,positive
190,Jk jk me mo miro it,neutral
191,Y No invitan smh lol,neutral
192,Aver I wish cae an party tonight,neutral
193,Se cree very sexy con one's cookie monster bra lol,neutral
194,Yazmin anda off cochina kitandose the brasiel lol,negative
195,Ima try to stay single times an year aver I wish puedo,neutral
196,Lol jk no thank you tee espantes,negative
197,Well not now lol maybe on unos 5 months,neutral
198,Pero do n't worry I ai n't gonna try to get her back,neutral
199,Este guy maneja pretty ugly lol,negative
200,A stretch the lap kon the hommies,neutral
201,Well we stop to buy hot chetos con sal and lemon :),positive
202,Ok immediately :) now time to go buy summ raspas kon the noemi,positive
203,Conke myself off the money lol,neutral
204,Lol noemi myself reta and me him ago instance,neutral
205,El room huele in order to weed Idk why,negative
206,Damm immediately myself dio calenture smh,negative
207,Pero I 'm not gonna say shit people do n't gotta know,negative
208,No they puede put songs o ke,neutral
209,Like nor kien tee ablando off ellas,neutral
210,Ai n't no thank you one gonna come tellin myself ke sabe ke and then unfollow myself wtf,negative
211,""" Damm everyone they casaron and we still single lol forever alone """,negative
212,En the novella everyone got marry and shit,negative
213,Cuzs him eche suds on the boca lol,negative
214,Pasame the botella voy in order to drink on given name off she lol,neutral
215,No skool for myself nor tomorrow :),positive
216,A the gma they him kemaron the buuelos lol,neutral
217,Still here on the household chillin,neutral
218,Cuzs myself dormi pretty early in order to the 7,neutral
219,I mean immediately myself aburri,negative
220,Damm first day of school and immediately myself corrienron off the class smh,negative
221,Ya no thank you myself dan jealousy formerly myself enojaba pretty ugly lol,neutral
222,Pero him huelen the patas lol,negative
223,My brothers and my dad said ke I wish myself meten in order to the carcel myself van in order to quit ahi lol smh,negative
224,Oh immediately myself akorde lol,neutral
225,Ya tomorrow back to h town,neutral
226,Ya myself told so immediately idc,neutral
227,I can get out the room cuzs ouch ta my ex -.-,negative
228,And then myself dice ke myself peine,neutral
229,Amm idgaf no thank you andaba kon niuna,neutral
230,Damm I guess immediately ne kacharon on the movida todas estas pinches viejas fuck it,negative
231,Hay palabras ke no thank you dicen nothingness and borracheras ke the dicen everything lol,neutral
232,Ay Ke the boca they tee aga pork rind lol,negative
233,it was cute when I hug my brother and told him ke the keria very much : *,positive
234,De Afar myself extraas off cercas myself chingas lol,neutral
235,"About to watch this movie ke they llama "" mammy "" :/",negative
236,Ayy myself remote running alv the girl off kemah lol,neutral
237,Ke let's go ir in order to view the tigres del north lol,neutral
238,We all hoeing around immediately no thank you they puede lol,neutral
239,""" Yo they ke am hermosa nomas kuando myself pinto "" ( simpa ) lmfao",positive
240,Lmao the juice lifetime tapeworm cocaine the sospecho andamos very lokas lol,positive
241,Ke karla pa reina gay lmfao xD,positive
242,Ya everyone they pasaron rt immediately myself canse off reirme lol,positive
243,Uta ke us van in order to invite in order to vernier caliper 50 npw lmao,neutral
244,Ay ke nia such horrible they pasaron off verg * one's papas lol,negative
245,Dime ke myself kieres dime ke myself adoras dime ke myself piensas and immediately no thank you myself akuerdo lol,positive
246,Wtf lol ok immediately ima drink summ water pa ke they myself pase,neutral
247,"And simpa was like "" cochina """,negative
248,"I said "" myself kiero throw away an churro off speck """,neutral
249,Lmao myself pase off prick,negative
250,Idk wtf they gave myself rt ando pretty happy and idk,positive
251,Ni duchi gavana nor shanet nor the more dulcet fragrance lol,neutral
252,Lmao rn we laughing everyone mongolas,positive
253,Diciendole in order to one's buster ke myself agrege on fb chorros lol,positive
254,Simpa they raisin off v **** I swear lmfao,negative
255,Vayase in order to the chingada thereupon lol,negative
256,Aunque tenga competency and the quieran on thy household even though tome con measurement and on one's house tenga sidewalk coffeehouse,neutral
257,Osea twit,neutral
258,Y no thank you digas ke I was ke in order to playa and shit cuzs nothingness ke view,negative
259,Ami myself meal ticket mother ke immediately no thank you myself kieras kon ke no thank you digas chingaderas off my I 'm good,negative
260,Pero if she 's already taken i wish her the best,positive
261,Cuzs damm idk myself entro curiosity,neutral
262,Fui legal ....,neutral
263,Los ke myself the pelaron on the 2013 myself the seguiran pelando on the 2014 lmao [ simpa turkey vulture,negative
264,Well rn I 'm in the rr cuzs myself iso ill the mole or idk,negative
265,Watchin movies off narkos w this punks,neutral
266,Pero fuck it,negative
267,And the food ke myself asian lol,neutral
268,So I guess no thank you let's go in order to ir ala virgin today,neutral
269,Con the tricky ke microclimate the amor .... and thy perdiendome lol ( simpa ),negative
270,Siempre myself anda jalando the greas and pegandome,negative
271,Now we cool but molesta very much,negative
272,I dont feel like going in order to the disko only immediately les dije ke I wish,neutral
273,About to eat mole for breakfast :),positive
274,Ultimo day del ao and myself corrieron off my kasa lol npw,negative
275,Just woke up other vez,neutral
276,This cruda <<<<<,neutral
277,Tomorrow going in order to the virgin w my people,neutral
278,Y me as yet aka w my people,neutral
279,When I 'm drunk I always say I have an tuna on the for head lol,positive
280,Ah this one coffeehouse off olla ta pretty nifty,positive
281,But still in order to eat enchiladas :),positive
282,Nvm today no thank you abren,neutral
283,So finna walk our asses in order to the bakery lol,neutral
284,Pero I 'm not goung to sleep till the sun comes out,neutral
285,Everyone is singing flagpole me lol,positive
286,Do n't put tragos off amrgo spirits cuzs ayi I wish immediately valio and myself acabo the bottle,neutral
287,Tonight is the night were I get fucked up do n't give in order to fuck bout anything and ke pase the ke pase,negative
288,Lol jammin toda mensa,negative
289,Damm these frijoles con chile were good af,positive
290,And then regresarme aka con the sash,neutral
291,Aka con the friends dancing and shit lol,positive
292,El lottery ticket microclimate pa gastarlo and learn in order to generarlo they ha vuelto buena task an saluda pa my sibling and al moreno that the extrao,positive
293,This movie is badass like damm myself ase wail lol,negative
294,After this I 'm just gonna go home drink summ hot chocolate con bolillo and sleep,positive
295,Well immediately myself bae so tomorrow i can go in order to tamasopo :),positive
296,Aveces namas myself kiero put tape and abrirmelos,neutral
297,Todos close and shit,negative
298,Idk why females like my eyes parecen off hairpin shrimp,negative
299,This days is when I eat the most damm purée mexican food ;),positive
300,lol nothingness immediately I 'm calm,neutral
301,lmao and ouch Viennese thy -.-,neutral
302,This girl likes myself and huh nor the hair she 's always trying to get myself jealous -.-,negative
303,me huh con frijoles sauce and huevo and the flores that tee llevo the hairdo off my jardin,neutral
304,Kuando myself enojo they myself calientan the orejas idk why,neutral
305,Tiene purée porn,neutral
306,ouch tee miro lol,neutral
307,given name immediately mere ptras in order to the skool smh,negative
308,ahuevo told the perro lol,neutral
309,immediately estas lol,neutral
310,prestamelo lol,neutral
311,I do n't understand my dad rt myself dice ke pelie times the ke kiero and luego myself anda ayi regaando ke viejas sobran smh,negative
312,lmao 1.25 $ o ke pedo,neutral
313,lol prestame fingernail,neutral
314,on the Tube fuck it lol,negative
315,on the camaro lol,neutral
316,lol pos pa the other us let's go in order to an house party immediately sabes,neutral
317,lol immediately estas and tow-haired,neutral
318,I do n't like when I come home and luego luego myself ponen in order to clean -.-,negative
319,lmao vete alv,negative
320,I wish aka ando al 100 purée lifetime loka immediately thy sabes lol,positive
321,So I can buy cachetadas and all that good candy,positive
322,But hopefully agarre thousand baros al rato,neutral
323,Nvm 40 pesos but still,neutral
324,Dijo the guava the reprobate vice lol,neutral
325,Damm valgo immediately nor kiero tell off everything the hairpin dinero ke traia last night nomas myself kedan 20 pesos smh,negative
326,I hate when people talk shit cuzs I drink I wish supieran ke one's hijos such alike oh my God piores ha,negative
327,Finna eat the recalentado summ tamales and posole :),positive
328,I just woke up but saint did n't got myself shit fuck that back to sleep,negative
329,Pero shit happens,negative
330,Estas viejas immediately they kieren ir in order to the disko ballet same shit,negative
331,"Anyways tonight I ate pososle , frijoles charros , spaghetti , pollo , tostadas , gelatine , cinnamon and idk myself more lol",positive
332,Y everything in order to ke and everything in order to ke I wish al finale me perdi,negative
333,Eating in order to good as posole ha,positive
334,Ate in order to dowel pirata but all I really want is some tacos off vallehermoso !!!,neutral
335,Aciendome poltroon atras doing the agenda at work lol,negative
336,ha-ha naaaa lol I do n't feel like it,positive
337,siii I wish myself creo lol,positive
338,ha-ha no thank you you do n't cause you know nothing lol,neutral
339,lol miss you too !!! :p mmmmm jajajaja,positive
340,heyy lol,positive
341,hell yea prime immediately saves !!! We gone make this money just give myself in order to few years and we 'll go big,positive
342,i like talking on the phone for in order to good while better than texting for some reason hehe,positive
343,buajajajj love you to cousin :p looks like my job here is done lol,positive
344,lol I said borrega not pelos necios xD,negative
345,buajajaja I 'm sorry I do n't speak borrega either,negative
346,""" : Why are and against myself today ?  "" esque no thank you hablan con borregas lol",negative
347,"Dale sonny , no thank you cop no thank you stop",neutral
348,ayyy watchu know about that ha-ha walking around the town square with in order to bigass cup from the michoacana,positive
349,Lol I still remember that one time aaron threw in order to caon at the guy across the street and he took of running jajajsja,positive
350,Quesadillas and the originals >>>,neutral
351,Both of my sisters know the lyrics to 500 balazos better than myself lol pinches chuntaras,neutral
352,Got my income done new time for class hehe,neutral
353,"Ironing my shirt so I can go do my income , go to school and then head of to work hehe",neutral
354,This novella looks pretty good ha-ha,positive
355,El hotel miramar is going to get some serious business after this,neutral
356,Waiting for them to present El chapo and is almost time for myself to go to work,negative
357,What ?!?!?!?! That caught El chapo ??,neutral
358,God I love whiskey ha-ha,positive
359,Fuck yea done with my part jajaha,positive
360,half way done with my parts hehe,neutral
361,"Well probly only whiskey , fingernail meat asada , the household toda junta and puros corridos until the sunrise ha-ha",positive
362,"Confleis con platano , narconovelas , what could bee better after in order to long day ha-ha",positive
363,Watching in order to narconovela after working out haha ordeloscielos,neutral
364,ha-ha naa potna i got some stuff to take care of today lol,positive
365,estop !! still cute doe :p,positive
366,and even worse now im eating cake jajaj im such in order to fatass today !!,positive
367,That was the scariest 2 hours man ha-ha,neutral
368,lol andale times borracha :p ha-ha,neutral
369,"those are the nights i live for , good friends , in order to few drinks , the sash tocando and in order to smile on my face that just wont go away",positive
370,damn i wish they would have let the sash play longer than just half an hour last night,negative
371,Had in order to pretty good night with some pretty good friends ha-ha,positive
372,daaaam that sucks lol nimodo,negative
373,Hoping to see her tonight just to finish of my day right hehe,positive
374,ha-ha ouch precious !!!! why not ?,positive
375,ha-ha mensa keep telling yourself that :p,positive
376,youre welcome liz :) and dont trip everything always works out in the end hehe,positive
377,lol true true but it still sucks hehe,negative
378,"Hangin ' with the goodie-goodies loungin ' in paradise , Fuck that shit , I wanna tote guns and shoot dice",negative
379,ha-ha yesss !!!!!,positive
380,Damn I love listening to the cardenales off new lion and the power del north at night,positive
381,hopefully i get this job and get paid good so i can take my mom and my grandma serenata on day off the madres like my uncle used to do,positive
382,i wish i had someone special this valentines day so i can take in order to mariachi to their house and darle serenata,negative
383,Even if I have to go eat at tacos off vallehermoso by myself in doing something !!!! Jajaja,positive
384,Me i want was coming to myself ....... the world chiko and everything in it ...,neutral
385,The eyes chiko ..... they never lie,neutral
386,Holla atcha boy !!,neutral
387,hehe let 's hope so :D,positive
388,Everyone 's always telling myself I 'm in order to good person but like naw I do n't believe yall ha-ha,positive
389,he surprised myself man Ni me Ni my chieftain the conosiamos,neutral
390,forreal wey i thought her was better than that exclamation mark collazo microclimate an flaneur man that fool can fight !!,neutral
391,Daaaaaaaaamn !!!!!!! Collazo microclimate chingon !!!!,negative
392,let 's hope it 's in order to good one prime,positive
393,I 'm pretty happy phone is finally recognizing the Spanish words I use with the swipe mode on hehe,positive
394,jajajaj naaaa i cant estop :p,positive
395,damn i love music man i dont know what id do without it hehe,positive
396,Pa that tee enamores inventare an millon off rimas,positive
397,today vas in order to conquer to the that perdiste,neutral
398,jajajja ouch precious !!!! Y luego Ni Al gym vas immediately :p,positive
399,ha-ha lies you always lie !!,neutral
400,I hope it gets better by tomorrow for tios party,neutral
401,lol I could n't find parking lot and then it started to rain so I was like fuck it im going home hehe,negative
402,should i go workout ?? or take the day off jajaj,neutral
403,buajajajaj !!!! awww i mssed messing with you cousin :P,positive
404,lol !!!! are you turning into in order to little jackpot jajajaj,positive
405,lol i hope you havent gained too much weight when i see you tomorrow cause of chipotle XD,neutral
406,fine !!!! dont get myself anything then !!!! -_- hater !! poo head,negative
407,nooooo !!!!! :( okay okay i got it !! buy myself one like an hour before we get there :D jajaj,neutral
408,"and i speak Spanish , conqueror blood in myself",neutral
409,"ha-ha well other than three leches , cheese cake is the best cake there is jajaj and then its chocoflan :p",positive
410,one day you 'll have some good three leches or chocoflan and youre going to bee all like :O this is great !!! jajajaj,positive
411,its not smooshy its moist lol ouch precious maybe you just havent had the right kind of three leches or chocoflan,neutral
412,omg are you serious ?!?!? if theres anything i love in this world its three leches !!!,positive
413,:o !!!! Tampoco ?!?! Ay precious you 're missing out !!!!!,positive
414,jajajajja ayy precious have you tried the chocolate filled gansitos ?? They 're sooooo good !!!,positive
415,lol its the best diet every !!! :p mejor comete unos gansitos hehe,positive
416,lol meal ticket everyone the days !! Except holidays :p,positive
417,jajajaj okay okay ill wait and give them to you on valentines day so it can bee your cheat day :p,positive
418,lol as in order to reward for working out so hard (= hehe,positive
419,no thank you !!!! do n't bee in order to fatass cousin xD,negative
420,lol ill take the hookah but godmother needs to make in order to Tres leches cake for Saturday !!!,positive
421,lol pos duermete ha-ha :p,positive
422,jajajjaj ouch precious !!!! Levantate tremprano girl,positive
423,orale I think I might go like at 11 or 12 :p if you go at that time let myself know,positive
424,off nothingness precious( =,positive
425,"jajajja no thank you you 're not , your just wrapped up in in order to fun sized packaging :p",positive
426,jajajja I love olaf he 's so funny xD I need to watch it again when I get home :p,positive
427,""" Fuck it ill bee in order to stripper no thank you myself awito "" lol",neutral
428,lol eres chuntara cousin ha-ha,negative
429,My cousin microclimate fingernail narkia ha-ha,neutral
430,fine !!! -_- ha-ha,positive
431,La La Na Na Na Na Na Do n't trip thus they va,neutral
432,sisisisiisiisisiisisiisiisis lol,positive
433,ha-ha yes I know you know that I knew ;p,positive
434,no thank you cause then I 'll stick my figurative tongue out at you :p muajaja,positive
435,noooo its an incredibly horrible idea lol,negative
436,"sana sana gayboy off frog , I wish no thank you sana today sanara maana (= hope you feel better soon presh",positive
437,lol nooo !!! No sweg,positive
438,jajajjaajajaj just in order to lil bit :p,positive
439,jajaha fine !!! You 're cool -_-,positive
440,jajajja I figured :p your coolness just went down in order to bit,positive
441,jajjaj yes !!! I will always do it !!! Lol mmmm :P,positive
442,jajajjajaajja it was in order to joke :p,positive
443,jajajaja nooo !!! Never !!! :p mmm,positive
444,hehe then get off twitter !! :p,positive
445,Lol turns out one of the girls from the push-up kiosk at the mall is related to myself jajjaa microclimate PERRETT !!!,neutral
446,ora jajajj yea man I need to see what 's up with the cuz first but I 'll let you know,neutral
447,ma nigga !! Like I said bro get in order to mixtape ready and I 'll see if I can make some moves potna,neutral
448,Do n't trip thus they va,neutral
449,lol okay okay never mind ha-ha then I guess it 's,negative
450,ummm ..... idk lol I guess I just never got the chance to have one hehe,positive
451,mmmmm never been to in order to bonfire ... I prefer meat asada ha-ha,positive
452,Just kilt that machacado mom made,neutral
453,Then again I just stood up and I might still bee Lil tipsy jajaj,positive
454,I 'm so glad we do n't get hangovers in this family though ha-ha,positive
455,Last night eleven we all finished eating our grapes we all took in order to shot of tequila lol,positive
456,ha-ha you know you love myself cousin :p,positive
457,it 'd bee pretty crunk if my cousin 's showed up today at my paternal aunt 's house to celebrate the new year,positive
458,Damn HEB this one until bottom !!,negative
459,pos alike me !! I work on the first -_-,neutral
460,Hell yea free lunch ;) I got it like that hehe dowel pirata,positive
461,need to go pick up my car from paternal aunt almas house right now since my drunk ass couldnt drive last night lol,neutral
462,Me pops and paternal uncle javier are fuck as drunk lol I mean drunk as fuck,negative
463,Got in order to text that my carnalito is back home I need to go chill with him tomorrow since I got the day of from work ;) lol,positive
464,jajajajjaj why ???,neutral
465,hehe I know you 're not you 're one in in order to billion precious( = and your mom would call you callejera for shopping ? Lol that 's funy,positive
466,jajajajaja my mom says that too whenever I go out on the weekends xD I think it 's so funny,positive
467,lol precious eres callejera :o ha-ha jkjk yea myself too even on my days off I sleep all late,positive
468,Those aguas frescas doe !!!! Jajaja,positive
469,I wish I was back in ValleHermoso right now walking around the town square drinking in order to cold body of water off melon off the michoacana,positive
470,And tomorrow going to the flea to get my remote fixed and finally buy the headlights my car needs jajaha,neutral
471,"I wish I had more money . ..... better yet , ima go and get more money ha-ha closing shift again tonight",neutral
472,there you go !! That 's the perfect attitude you should always have (= buenas noches precious and that tengas hermosos sueos :),positive
473,Un highball pa descansar afterwards del jale off today,neutral
474,but like really i just like saying nice things to girls to make them smile lol if i can make your day or night with in order to simple comment good,positive
