tweet,label
I always go to sleep w a t-shirt del same color de mis boxers that 's just me,neutral
Me and nohemi are waiting for everyone to go to sleep so we can male summ arroz con leche lol,neutral
A mi me decian quintina kuando era chikita lol,positive
ha pos have fun its pretty te subes al horse its cute lol,positive
""" : I have never been to kemah tbh . "" Lol ta bien caro -.- se me fue todo cheke",negative
Then en un game oomf me aplasto -.-,negative
We got on the horse w summ teddy bears and un alien parecia ke llevavamos toda la fam lol,neutral
What about me and u go to kemah again y nos subimos al caballo lol,neutral
Itzayana is my nia travieza,positive
lol nomas pokito ha,neutral
Bien buenota lol,positive
Ah !! Y si estoy ardido,negative
I 'm letting my eyebrows grow cuzs pinche vieja pendeja fucked them up,negative
Summ people do n't like spm but fuck their opinion ha,negative
Pero komo dicen hoes always gonna be hoes,negative
Asi ke ven y dime kuanto me amas asi ke ven y dime kuanto me extraas por tu amor yo bajaria asta so infinito .....,positive
"Made a mexican hamburger ( tortilla , keso , jamon , and mayonesa ) ;)",positive
"Eliseo calls me "" primate "" lol funny or "" mono """,positive
Idc if u do n't like tekila I do so u and ur opinion can gtfo,negative
The reason why I 'm single 1- cuzs me mandaron a la chingada lol 2- cuzs I 'm trying to save money ( girls are expensive ),negative
Ni me akordaba lol,neutral
Tomorrow i gotta work and todavia ando en el pedo lol,neutral
Waiting on my cuada so she can pick me up to go to work,neutral
( el ruido de tus zapatos ) baby that 's still your song ;),positive
I was gonna get drunk tonight pero then me dijieron I had to work lol fml,negative
Ya lo se ke aunke tu no me kieras yo siempre te rekordare mirame dime ke aunke te pida te llore de ruege y te implore no vas a volver,negative
Well aver ke,neutral
She 's was all emocionada and shit,positive
Lol ya ni yo,neutral
I was gonna go a vee a gerardo ortiz but mayne its to fuckin cold,negative
When I wake up my hairs looks como ke lo lambio la vaca -.-,negative
Se pasaron de verga con este cold rt,negative
This teacher tellin us we gotta get amrry before aflojar la tortilla,neutral
Hopefully vaya :),positive
Toda mongola and shit,negative
And when I see u siento mariposas,positive
My dad got summ tamales,neutral
Alguien se comio mi torta Lol,neutral
La mom de eliseo said ke tengo la cabeza de teletuvi smh -.-,negative
"This girls sneak out and are like "" no mames denle lmao",negative
Y de pasada las eyebrows,neutral
Why ? Cuzs u ai n't shit ni mi dad me dice ke aser menos tu,negative
lmao luego buelo bien gacho y no pulleo hoes ;),positive
I was born on beans and rice oh and sandwich y huevo ( danny ) lol,positive
Ke al diablo con los gaupos lol,negative
But the her mom told us to stop cuzs nos ivan a cachar lol,neutral
I remember when me and oomf used to get out during lunch pa komprar gorditas lol,positive
I did n't went to 1 and ya se me iso tarde to go to 2 mmmm,neutral
I mias chavez rt,neutral
50$ por un VIP lap dance,neutral
yess es mi primer dia en la milby lol,positive
El guy ke esta atras de mi ta heart broken,neutral
I need otros 3 months and then maybe,neutral
Kuzs I mean nomas tengo like 1 month single,neutral
I have the chance to go out w her pero I know I 'm just gonna hurt her,negative
I can n't lmao me mandaromandarins bien bonito alv ha,negative
In class toda sleepy,neutral
That 's why I 'm going w her pa ke me de una advil lol,positive
1 . Ke they accept me en la milby 2.ke medieron una shot and me andaba muriendo & 3.ke me acabo de caer del techo lol,neutral
Ima go w gma rn a contarle el chisme,neutral
Pero ahh idc,neutral
Me pase de verga lol pero I was just trying to be funny,neutral
Finally se kedo viendo la novela and no anda de metiche lol,neutral
Cuzs se lo va a chingar lol,negative
I hope itzayana nunka tenga bf,negative
Pero nadie la conoce mas ke yo lol,neutral
Nomas la cara la tiene de nia buena lol,neutral
For now on u do n't count y voy aserle komo nunka te conoci,negative
De tekila si pero de los otros no lol,neutral
Ya no kiero ke me den shots,neutral
Today me dieron una pinche shot y me rompieron mi corazonsito npw,negative
pura yolo life lol,neutral
ah empezar el monday bien lol,positive
Or can yall just stfu and dejar de inventar chismes ?,negative
Can yall like plis help me find her cuzs ni la konosko,neutral
Everytime ke me awito I got a bottle of tekila me echo un tragiyo pa calmarme,neutral
My fam me manda alv cada rato then they wonder why I 'm like this,neutral
Finna take a shower and go pa ya meterme a la skool,neutral
Yazmin es mi consejera and she tells me wutt to reply,neutral
Nomas me falto comprarle unos hot chetos and juice lol,positive
Jk jk yo mo miro eso,neutral
Y No invitan smh lol,neutral
Aver si cae un party tonight,neutral
Se cree muy sexy con su cookie monster bra lol,neutral
Yazmin anda de cochina kitandose el brasiel lol,negative
Ima try to stay single por un year aver si puedo,neutral
Lol jk no te espantes,negative
Well not now lol maybe en unos 5 months,neutral
Pero do n't worry I ai n't gonna try to get her back,neutral
Este guy maneja bien feo lol,negative
A dar la vuelta kon los hommies,neutral
Well we stop to buy hot chetos con sal y limon :),positive
Ok ya :) now time to go buy summ raspas kon la noemi,positive
Conke me de el money lol,neutral
Lol noemi me reta and yo le ago caso,neutral
El room huele a weed Idk why,negative
Damm ya me dio calentura smh,negative
Pero I 'm not gonna say shit people do n't gotta know,negative
No se puede poner songs o ke,neutral
Like ni kien te ablando de ellas,neutral
Ai n't no one gonna come tellin me ke sabe ke and then unfollow me wtf,negative
""" Damm todos se casaron and we still single lol forever alone """,negative
En la novela everyone got marry and shit,negative
Cuzs le eche espuma en la boca lol,negative
Pasame la botella voy a beber en nombre de ella lol,neutral
No skool for me ni tomorrow :),positive
A la gma se le kemaron los buuelos lol,neutral
Still here en la casa chillin,neutral
Cuzs me dormi bien early a las 7,neutral
I mean ya me aburri,negative
Damm first day of school and ya me corrienron de la class smh,negative
Ya no me dan celos antes me enojaba bien feo lol,neutral
Pero le huelen las patas lol,negative
My brothers and my dad said ke si me meten a la carcel me van a dejar ahi lol smh,negative
Oh ya me akorde lol,neutral
Ya manana back to h town,neutral
Ya me dijo so ya idc,neutral
I can get out the room cuzs ay ta mi ex -.-,negative
And then me dice ke me peine,neutral
Amm idgaf no andaba kon niuna,neutral
Damm I guess ya ne kacharon en la movida todas estas pinches viejas fuck it,negative
Hay palabras ke no dicen nada y borracheras ke lo dicen todo lol,neutral
Ay Ke la boca se te aga chicharron lol,negative
it was cute when I hug my brother and told him ke lo keria mucho : *,positive
De lejos me extraas de cercas me chingas lol,neutral
"About to watch this movie ke se llama "" mama "" :/",negative
Ayy me mando alv la girl de kemah lol,neutral
Ke vamos ir a ver los tigres del norte lol,neutral
We all hoeing around ya no se puede lol,neutral
""" Yo se ke estoy hermosa nomas kuando me pinto "" ( simpa ) lmfao",positive
Lmao el jugo vida tenia cocaina lo sospecho andamos muy lokas lol,positive
Ke karla pa reina gay lmfao xD,positive
Ya todos se pasaron rt ya me canse de reirme lol,positive
Uta ke nos van a invitar a calibre 50 npw lmao,neutral
Ay ke nia tan horrible se pasaron de verg * sus papas lol,negative
Dime ke me kieres dime ke me adoras dime ke me piensas and ya no me akuerdo lol,positive
Wtf lol ok ya ima drink summ water pa ke se me pase,neutral
"And simpa was like "" cochina """,negative
"I said "" me kiero echar un churro de mota """,neutral
Lmao me pase de verga,negative
Idk wtf they gave me rt ando bien happy and idk,positive
Ni duchi gavana ni shanet ni el mas dulce aroma lol,neutral
Lmao rn we laughing todos mongolas,positive
Diciendole a su amigo ke me agrege en fb chorros lol,positive
Simpa se pasa de v **** I swear lmfao,negative
Vayase a la chingada entonces lol,negative
Aunque tenga cualidades y lo quieran en tu casa aunque tome con medida y en su house tenga terraza,neutral
Osea hello,neutral
Y no digas ke I was ke a playa and shit cuzs nada ke ver,negative
Ami me vale madre ke ya no me kieras kon ke no digas chingaderas de mi I 'm good,negative
Pero if she 's already taken i wish her the best,positive
Cuzs damm idk me entro curiosidad,neutral
Fui legal ....,neutral
Los ke me la pelaron en el 2013 me la seguiran pelando en el 2014 lmao [ simpa ],negative
Well rn I 'm in the rr cuzs me iso mal el mole or idk,negative
Watchin movies de narkos w this punks,neutral
Pero fuck it,negative
And la food ke me asian lol,neutral
So I guess no vamos a ir ala virgen today,neutral
Con lo dificil ke es el amor .... y tu perdiendome lol ( simpa ),negative
Siempre me anda jalando las greas and pegandome,negative
Now we cool but molesta mucho,negative
I dont feel like going a la disko pero ya les dije ke si,neutral
About to eat mole for breakfast :),positive
Ultimo dia del ao y me corrieron de mi kasa lol npw,negative
Just woke up otra vez,neutral
This cruda <<<<<,neutral
Tomorrow going a la virgen w my people,neutral
Y yo todavia aka w my people,neutral
When I 'm drunk I always say I have un nopal en la for head lol,positive
Ah este cafe de olla ta bien bueno,positive
But still a comer enchiladas :),positive
Nvm hoy no abren,neutral
So finna walk our asses a la panaderia lol,neutral
Pero I 'm not goung to sleep till the sun comes out,neutral
Everyone is singing asta yo lol,positive
Do n't put tragos de amrgo licor cuzs ayi si ya valio y me acabo la bottle,neutral
Tonight is the night were I get fucked up do n't give a fuck bout anything and ke pase lo ke pase,negative
Lol jammin toda mensa,negative
Damm estos frijoles con chile were good af,positive
And then regresarme aka con la banda,neutral
Aka con los friends dancing and shit lol,positive
El billete es pa gastarlo y aprender a generarlo se ha vuelto buena tarea un saluda pa mi hermano y al moreno que lo extrao,positive
This movie is badass like damm me ase llorar lol,negative
After this I 'm just gonna go home drink summ hot chocolate con bolillo and sleep,positive
Well ya me bae so tomorrow i can go a tamasopo :),positive
Aveces namas me kiero poner tape and abrirmelos,neutral
Todos close and shit,negative
Idk why females like my eyes parecen de pinche camaron,negative
This days is when I eat the most damm pura mexican food ;),positive
lol nada ya I 'm calm,neutral
lmao y ay vienes tu -.-,neutral
This girl likes me and como ni la pelo she 's always trying to get me jealous -.-,negative
yo como con frijoles salsa y huevo y las flores que te llevo las corte de mi jardin,neutral
Kuando me enojo se me calientan las orejas idk why,neutral
Tiene puro porn,neutral
ay te miro lol,neutral
nombre ya mero ptras a la skool smh,negative
ahuevo dijo el perro lol,neutral
ya estas lol,neutral
prestamelo lol,neutral
I do n't understand my dad rt me dice ke pelie por lo ke kiero y luego me anda ayi regaando ke viejas sobran smh,negative
lmao 1.25 $ o ke pedo,neutral
lol prestame una,neutral
en el metro fuck it lol,negative
en el camaro lol,neutral
lol pos pa la otra nos vamos a un house party ya sabes,neutral
lol ya estas and claro,neutral
I do n't like when I come home and luego luego me ponen a limpiar -.-,negative
lmao vete alv,negative
si aka ando al 100 pura vida loka ya tu sabes lol,positive
So I can buy cachetadas and all that good candy,positive
But hopefully agarre mil baros al rato,neutral
Nvm 40 pesos but still,neutral
Dijo el guayabo el maldito vicio lol,neutral
Damm valgo ya ni kiero decir de todo el pinche dinero ke traia last night nomas me kedan 20 pesos smh,negative
I hate when people talk shit cuzs I drink si supieran ke sus hijos tan igual oh piores ha,negative
Finna eat el recalentado summ tamales and posole :),positive
I just woke up but santa did n't got me shit fuck that back to sleep,negative
Pero shit happens,negative
Estas viejas ya se kieren ir a la disko baile same shit,negative
"Anyways tonight I ate pososle , frijoles charros , spaghetti , pollo , tostadas , gelatina , canela and idk me mas lol",positive
Y todo para ke y todo para ke si al final yo perdi,negative
Eating a good as posole ha,positive
Ate a taco pirata but all I really want is some tacos de vallehermoso !!!,neutral
Aciendome pendejo atras doing the agenda at work lol,negative
jajaja naaaa lol I do n't feel like it,positive
siii si me creo lol,positive
jajaja no you do n't cause you know nothing lol,neutral
lol miss you too !!! :p mmmmm jajajaja,positive
heyy lol,positive
hell yea primo ya saves !!! We gone make this money just give me a few years and we 'll go big,positive
i like talking on the phone for a good while better than texting for some reason jaja,positive
buajajajj love you to prima :p looks like my job here is done lol,positive
lol I said borrega not pelos necios xD,negative
buajajaja I 'm sorry I do n't speak borrega either,negative
""" : Why are and against me today ?  "" esque no hablan con borregas lol",negative
"Dale mijo , no cop no stop",neutral
ayyy watchu know about that jajaja walking around la plaza with a bigass cup from la michoacana,positive
Lol I still remember that one time aaron threw a caon at the guy across the street and he took of running jajajsja,positive
Quesadillas and the originals >>>,neutral
Both of my sisters know the lyrics to 500 balazos better than me lol pinches chuntaras,neutral
Got my income done new time for class jaja,neutral
"Ironing my shirt so I can go do my income , go to school and then head of to work jaja",neutral
This novela looks pretty good jajaja,positive
El hotel miramar is going to get some serious business after this,neutral
Waiting for them to present El chapo and is almost time for me to go to work,negative
What ?!?!?!?! That caught El chapo ??,neutral
God I love whiskey jajaja,positive
Fuck yea done with my part jajaha,positive
half way done with my parts jaja,neutral
"Well probly only whiskey , una carne asada , la familia toda junta y puros corridos hasta el amanecer jajaja",positive
"Confleis con platano , narconovelas , what could be better after a long day jajaja",positive
Watching a narconovela after working out haha ordeloscielos,neutral
jajaja naa potna i got some stuff to take care of today lol,positive
estop !! still cute doe :p,positive
and even worse now im eating cake jajaj im such a fatass today !!,positive
That was the scariest 2 hours man jajaja,neutral
lol andale por borracha :p jajaja,neutral
"those are the nights i live for , good friends , a few drinks , la banda tocando and a smile on my face that just wont go away",positive
damn i wish they would have let the banda play longer than just half an hour last night,negative
Had a pretty good night with some pretty good friends jajaja,positive
daaaam that sucks lol nimodo,negative
Hoping to see her tonight just to finish of my day right jaja,positive
jajaja ay precious !!!! why not ?,positive
jajaja mensa keep telling yourself that :p,positive
youre welcome liz :) and dont trip everything always works out in the end jaja,positive
lol true true but it still sucks jaja,negative
"Hangin ' with the goodie-goodies loungin ' in paradise , Fuck that shit , I wanna tote guns and shoot dice",negative
jajaja yesss !!!!!,positive
Damn I love listening to los cardenales de nuevo leon y el poder del norte at night,positive
hopefully i get this job and get paid good so i can take my mom and my grandma serenata on dia de las madres like my uncle used to do,positive
i wish i had someone special this valentines day so i can take a mariachi to their house y darle serenata,negative
Even if I have to go eat at tacos de vallehermoso by myself in doing something !!!! Jajaja,positive
Me i want was coming to me ....... the world chiko and everything in it ...,neutral
The eyes chiko ..... they never lie,neutral
Holla atcha boy !!,neutral
jaja let 's hope so :D,positive
Everyone 's always telling me I 'm a good person but like naw I do n't believe yall jajaja,positive
he surprised me man Ni yo Ni mi jefe lo conosiamos,neutral
forreal wey i thought her was better than that ! collazo es un callejero man that fool can fight !!,neutral
Daaaaaaaaamn !!!!!!! Collazo es chingon !!!!,negative
let 's hope it 's a good one primo,positive
I 'm pretty happy phone is finally recognizing the Spanish words I use with the swipe mode on jaja,positive
jajajaj naaaa i cant estop :p,positive
damn i love music man i dont know what id do without it jaja,positive
Pa que te enamores inventare un millon de rimas,positive
hoy vas a conquistar to lo que perdiste,neutral
jajajja ay precious !!!! Y luego Ni Al gym vas ya :p,positive
jajaja lies you always lie !!,neutral
I hope it gets better by tomorrow for tios party,neutral
lol I could n't find parking and then it started to rain so I was like fuck it im going home jaja,negative
should i go workout ?? or take the day off jajaj,neutral
buajajajaj !!!! awww i mssed messing with you prima :P,positive
lol !!!! are you turning into a little gordo jajajaj,positive
lol i hope you havent gained too much weight when i see you tomorrow cause of chipotle XD,neutral
fine !!!! dont get me anything then !!!! -_- hater !! caca head,negative
nooooo !!!!! :( okay okay i got it !! buy me one like an hour before we get there :D jajaj,neutral
"and i speak Spanish , conquistador blood in me",neutral
"jajaja well other than tres leches , cheese cake is the best cake there is jajaj and then its chocoflan :p",positive
one day you 'll have some good tres leches or chocoflan and youre going to be all like :O this is great !!! jajajaj,positive
its not smooshy its moist lol ay precious maybe you just havent had the right kind of tres leches or chocoflan,neutral
omg are you serious ?!?!? if theres anything i love in this world its tres leches !!!,positive
:o !!!! Tampoco ?!?! Ay precious you 're missing out !!!!!,positive
jajajajja ayy precious have you tried the chocolate filled gansitos ?? They 're sooooo good !!!,positive
lol its the best diet every !!! :p mejor comete unos gansitos jaja,positive
lol vale todos los dias !! Except holidays :p,positive
jajajaj okay okay ill wait and give them to you on valentines day so it can be your cheat day :p,positive
lol as a reward for working out so hard (= jaja,positive
no !!!! do n't be a fatass prima xD,negative
lol ill take the hookah but madrina needs to make a Tres leches cake for Saturday !!!,positive
lol pos duermete jajaja :p,positive
jajajjaj ay precious !!!! Levantate tremprano mujer,positive
orale I think I might go like at 11 or 12 :p if you go at that time let me know,positive
de nada precious( =,positive
"jajajja no you 're not , your just wrapped up in a fun sized packaging :p",positive
jajajja I love olaf he 's so funny xD I need to watch it again when I get home :p,positive
""" Fuck it ill be a stripper no me awito "" lol",neutral
lol eres chuntara prima jajaja,negative
My prima es una narkia jajaja,neutral
fine !!! -_- jajaja,positive
La La Na Na Na Na Na Do n't trip asi se va,neutral
sisisisiisiisisiisisiisiisis lol,positive
jajaja yes I know you know that I knew ;p,positive
no cause then I 'll stick my figurative tongue out at you :p muajaja,positive
noooo its an incredibly horrible idea lol,negative
"sana sana colita de rana , si no sana hoy sanara maana (= hope you feel better soon presh",positive
lol nooo !!! No sweg,positive
jajajjaajajaj just a lil bit :p,positive
jajaha fine !!! You 're cool -_-,positive
jajajja I figured :p your coolness just went down a bit,positive
jajjaj yes !!! I will always do it !!! Lol mmmm :P,positive
jajajjajaajja it was a joke :p,positive
jajajaja nooo !!! Never !!! :p mmm,positive
jaja then get off twitter !! :p,positive
Lol turns out one of the girls from the planchas kiosk at the mall is related to me jajjaa es PERRETT !!!,neutral
ora jajajj yea man I need to see what 's up with the cuz first but I 'll let you know,neutral
ma nigga !! Like I said bro get a mixtape ready and I 'll see if I can make some moves potna,neutral
Do n't trip asi se va,neutral
lol okay okay never mind jajaja then I guess it 's,negative
ummm ..... idk lol I guess I just never got the chance to have one jaja,positive
mmmmm never been to a bonfire ... I prefer carne asada jajaja,positive
Just kilt that machacado mom made,neutral
Then again I just stood up and I might still be Lil tipsy jajaj,positive
I 'm so glad we do n't get hangovers in this family though jajaja,positive
Last night once we all finished eating our grapes we all took a shot of tequila lol,positive
jajaja you know you love me prima :p,positive
it 'd be pretty crunk if my cousin 's showed up today at my tia 's house to celebrate the new year,positive
Damn HEB esta hasta culo !!,negative
pos igual yo !! I work on the first -_-,neutral
Hell yea free lunch ;) I got it like that jaja taco pirata,positive
need to go pick up my car from tia almas house right now since my drunk ass couldnt drive last night lol,neutral
Me pops and tio javier are fuck as drunk lol I mean drunk as fuck,negative
Got a text that my carnalito is back home I need to go chill with him tomorrow since I got the day of from work ;) lol,positive
jajajajjaj why ???,neutral
jaja I know you 're not you 're one in a billion precious( = and your mom would call you callejera for shopping ? Lol that 's funy,positive
jajajajaja my mom says that too whenever I go out on the weekends xD I think it 's so funny,positive
lol precious eres callejera :o jajaja jkjk yea me too even on my days off I sleep all late,positive
Those aguas frescas doe !!!! Jajaja,positive
I wish I was back in ValleHermoso right now walking around the plaza drinking a cold agua de melon de la michoacana,positive
And tomorrow going to the pulga to get my remote fixed and finally buy the headlights my car needs jajaha,neutral
"I wish I had more money . ..... better yet , ima go and get more money jajaja closing shift again tonight",neutral
there you go !! That 's the perfect attitude you should always have (= buenas noches precious y que tengas hermosos sueos :),positive
Un highball pa descansar despues del jale de hoy,neutral
but like really i just like saying nice things to girls to make them smile lol if i can make your day or night with a simple comment good,positive
I need a girl I can talk with all day like I used to jajaja,neutral
"true true , okay is a tie between 3msc , tengo ganas de ti , and amar te duele jahaja",positive
""" : Amar Te Duele   "" >>>>> one of the best movies ever !!!!!",positive
Then DT tonight with my prima and work at 7 am tomorrow jajaja thug life !!!,positive
"Damn people be getting hustled on black Friday , it 's all a con yall",negative
jajaja I sure it is !!!!,positive
yesss come that way madrina can let you go DT jajaja,positive
IM JUST SOOOO TIRED RIGHT NOW JAJAJ,neutral
"im ambitious as fuck jajaja i want everybody who 's ever known me to say , yea i knew him when he was just some pinche wey back in the day",negative
lol no mames,negative
Jammin tequila sunrise before getting off the car and clocking in >>>> puts me in a bombass mood every time,positive
I need a shot of tequila or a glass of scotch to keep me warm right now,neutral
feels good jaja,positive
damn mexico playing onpoint right now,neutral
Today is the perfect day for a carne asada and that 's exactly what we 're doing ;),positive
""" : When I think of patron I literally wanna vomit  "" giiiiiirl !!!! U cant hang or what ??",negative
dude yes prima !!!! Lol fuck it stay 2 weeks !!,neutral
lol no puedo :( I work !! Yall should come so we can take shots and smoke hookah,negative
lol dile que me aga y venganse el findesemana,positive
Some champurado would go off right now,neutral
yo my potna putting out some trill jams representing the H and the Valle,neutral
got a 2 liter i aint talking coca cola,neutral
He said i 've heard girls from there are so pretty y cada ves veo que es sierto ... gtfooo !!!,positive
Some random ass guy just asked me que si soy la mentada chaparra de la gavia ...,neutral
Happy birthday Chicaaa que te la pases al cien !!,positive
Pops gave me $10 for lunch today and an extra $20 pa que no le pida el weekend !!,positive
"lmaoo right !! Mi cunada siwmore me dice "" Fabii how can you walk in these huge things "" its not that damn hard lol",neutral
pos duhhh,neutral
you know its true mi pato !,neutral
allright si no ya sabe las consequencias !! Eh haha,positive
it will be better for sure !! Nomas que ya no tome tanto pa que se acuerde at least poquito lol .. remember le pongo un tapon !,positive
me dos !!! First year dancing all rodeo season lol !! gonna get crazy or wah ?! Lmao,positive
no you did lol you were with my cousin pero ta traivas cerveza en la mano so i wouldnt doubt you were lost lol,neutral
mmm hasta de beso me saludo i wass like omg omg lol jk jk,positive
pos ya vi que no lol ! And oh yeaa ese dia si me saludo !!! Muy amable el muchacho tht day,positive
no era early you were getting tacos and i was behind you in line,neutral
no you !!! Wait i remember seeing you at estatal y me ignoro,negative
me tooo aver si si lo veo ! Cause i dint remember seeing you all last summer !,neutral
okay zero preocupations ! Y luego que dice el Chuy ready for summer ?,positive
ohhhh lmfaooooo i gett it . Srry como que me dio un blonde moment,neutral
ummm chuy ? What does minimo actually mean lmfaooooo,neutral
muy apenas me dejan salir con el brother !,neutral
haha eso mero . In this case you 're in the ratchet group lol,positive
if he wants to be the girl in this situation then hes included cause hes ratchet lmaooo jk zero que ver !,neutral
lmfaooo about my tweet de mis cousins !!! Lmaoo you made me crack up,positive
osea im super duper esmart !!!! Que cress lol thanks babes (:,positive
y siii como dijo titi pura cosa fina !!! A usted le doy un  plus !!!,positive
dude el se chivea when we mention your name,negative
que se vaya a chihuahua al baile lol con toy la de blanco !!,neutral
yea and im saying he dont have bad taste nomas last sunday se le pasaron las copas yo creo,neutral
omggg thts sooo cute el amorsss el amorsss,positive
